,LINE,TYPE,EMOTE SPAMMED,Rarity,Possible Source,CLIP - Sound bit,
336,CUT MY LIFE INTO PIECES,Song lyric,Pepepains,Rare,Papa Roach - Last Resort,https://clips.twitch.tv/FurryOilyVulturePanicBasket-kP9PJ7NSK2xJikpw,
337,Let them come,Movie line,Pepepains,Very rare,LOTRhttps://youtu.be/NcD7eDHDBUU?t=35,https://clips.twitch.tv/VictoriousAmorphousMomFrankerZ-oCQ50PKKMkj5lScs,
338,Now you're gonna see This is how we do action in Uganda!,Movie line,ZULUL,Rare,WHO KILLED CAPTAIN ALEX?,https://clips.twitch.tv/VibrantTangiblePepperBudBlast-xYcb8YvROXPRu_E5,
339,IN YOUR HEAD,Song lyric,Pepepains,Very rare,The Cranberries - Zombie ,https://clips.twitch.tv/EasyGenerousMarrowPRChase-R39-SLeOAZAn3K1G,
340,Pistolero,Famous line,Pepepains,Uncommon,,https://clips.twitch.tv/BrightBoredAardvarkRlyTho-9J0n3gih4CO_3EJG,
341,Why I must cry,Song lyric,Pepepains,Very rare,https://www.youtube.com/watch?v=8mWW6kRITEY,https://clips.twitch.tv/TransparentCrypticJellyfishArgieB8-JrGIQGa5eSLGRsZ3,
342,I GOT THIS,Famous line,forsenGa,Common,,https://clips.twitch.tv/GloriousNeighborlyBottleNotLikeThis-2JxKwPrhUiYVgEsr,
343,"Random Beatboxing",Famous line,pepeJAM,Common,,https://clips.twitch.tv/EnchantingCrispyDootSoonerLater-Ij8zxlo6OsFtE1zz,
344,So am I still waiting For this world to stop hating,Song lyric,Pepepains,Very rare,Sum 41 - Still Waiting ,https://clips.twitch.tv/RespectfulSingleRedpandaPraiseIt-pOyBOgj5K0bvV6mT,
345,are you winning son?,Random line,Pepepains,Very rare,https://knowyourmeme.com/memes/are-ya-winning-son,https://clips.twitch.tv/FunnyGleamingPhoneResidentSleeper-AgCYw9EtyGUcLePL,
346,Nice and Easy wins the race,Random line,Pepepains,Uncommon,,https://youtube.com/clip/UgkxO5Xg0QQZcNKC6kqW6HwmaNIEwC8mLJWu,
347,I will find him,Random line,Pepepains,Very rare,Man Of Steel,https://clips.twitch.tv/ClumsyBlueLyrebirdWTRuck-owdYoHNwHIXTNzhL,
348,Golden Legendary,Video Game,Pepepains,Uncommon,Hearthstone,https://clips.twitch.tv/SweetCaringSoymilkSoBayed-F6cBpla3q0FEab7i,
349,Decisions decisions,Famous line,-,Common,,https://clips.twitch.tv/FrozenPeppyLampDancingBanana-cbAO5F4_t3eYQp4p,
350,Fridays with PewDiePie,Viral Video,cmonBruh,Very rare,Fridays with PewDiePie,https://clips.twitch.tv/RenownedStrangeStinkbugMikeHogu-3ZczS186W2xeTiKf,
351,"EXCUTE ORDER 69",Movie line,Pepepains,Rare,Star wars ,https://clips.twitch.tv/NastyReliablePartridgeSoonerLater-jICStQTqtK1XS7bU,
352,Jesse we have to cook,TV Show line,forsin,Very rare,Breaking Bad - WALT NEVER SAID THIS LINE EVER IN THE SHOW WTF,https://clips.twitch.tv/AltruisticRamshackleGarbagePipeHype-SCwIKh4pkTG_F1sA,
353,And they say chivalry is dead,Video Game,Pepepains,Rare,Doomfist line from overwatch,https://clips.twitch.tv/HeadstrongInterestingPresidentMingLee-Vcyq59bjdOtz3YiW,
354,Crashing this plane... WITH NO SURVIVORS!,Movie line,Pepepains,Uncommon,BATMAN - BANE LINE,https://clips.twitch.tv/LuckyChillyPlumberYouWHY-riF4WGTaMJQTX7tG,
355,"I Used To Be An Adventurer Like You, Then I Took An Arrow In The Knee.",Video Game,Pepepains,Very rare,Skyrim,https://clips.twitch.tv/BlindingSassyToadPunchTrees-m_7PdHYndBe8iNH0,
356,I'd like you to get the fuck outta here!,Movie line,Pepepains,Very rare,Food of the Gods II,https://clips.twitch.tv/ObservantCrypticKangarooAliens-Igfx26xSblXKNOLP,
357,Words can't bring me down,Song lyric,Pepepains,Very rare,Christina Aguilera - Beautiful,https://clips.twitch.tv/VainPrettyPepperKappaPride-uWYp8OzvLLRmMjM2,
358,Alright who wants some,Viral Video,Pepepains,Uncommon,The Wealdstone Raider,https://clips.twitch.tv/WonderfulFriendlyJellyfishDeIlluminati-dn2CUk2l98t-P7KS,
359,My Name is Boxxy,Viral Video,Pepepains,Very rare,Boxxy,https://clips.twitch.tv/DelightfulFamousSpiderDoggo-zhDuyziHP4jGnuvo,
360,Para bailar la bamba,Song lyric,Pepepains,Very rare,La Bamba,https://clips.twitch.tv/LittleNicePorpoiseSoonerLater-YVPgwWUe07j7a0uo,
361,LEAVE HER JOHHNY,Song lyric,forsenPirate ,Very rare,Leave her honny sea shanty,https://clips.twitch.tv/AliveAverageCocoaFUNgineer-L-WhdGl3gVe9uefS,
362,hey you with the pretty face welcome to the human race,Song lyric,Pepepains,Very rare,ELO - MR. BLUE SKY,https://clips.twitch.tv/TastyHungryRabbitOSfrog-zq9GKoEAfK9nfMJY,
363,"It's over anakin, i've the high ground",Movie line,Pepepains,Rare,Obi-wan - star wars prequels,https://clips.twitch.tv/PlacidTangibleRhinocerosDatSheffy-x-dyekOE1t3KTOjK,
364,Everything is black,Song lyric,RlyTho,Very rare,Unlike Pluto - Everything Black,https://clips.twitch.tv/MoistExquisitePresidentPraiseIt-6DdF8a1JkhQ_Na2j,
365,"Get on the floor, Everybody walk the dinosaur.",Song lyric,Pepepains,Very rare,Was Not Was - Walk The Dinosaur,https://clips.twitch.tv/SoftSplendidDiamondFutureMan-oTM7Ep3V0-vQq3kC,
366,Say something I'm giving up on you!,Song lyric,Pepepains,Very rare,"A Great Big World, Christina Aguilera - Say Something",https://clips.twitch.tv/WrongEsteemedPangolinDAESuppy-IdLGAxOpxcGyULo8,
367,A wizard is never late,Movie line,Pepepains,Very rare,LOTR ,https://clips.twitch.tv/RamshackleLuckySalsifyYouDontSay-cDXqYgdO9o0iN_TB,
368,OH BABY A TRIPLE,Viral Video,Pepepains,Rare,COD KID MEME ,https://clips.twitch.tv/DistinctDistinctOkapiOpieOP-k_wsr8WX4HF9FMNt,
369,SHUT UP MEG,TV Show line,Pepepains,Rare,Family Guy meme,https://clips.twitch.tv/TacitSilkyDragonMcaT-2sLy_TgbSOd39xUP,
