,LINE,TYPE,EMOTE SPAMMED,Rarity,Possible Source,CLIP - Sound bit,
107,I'm chicken... I'm chicken I'm chicken,Famous line,MODS,Very rare,Forsen himself,https://clips.twitch.tv/ColdbloodedPlainJayNononoCat-ZODLK-froQx3DY86,https://clips.twitch.tv/SillyMoralCodTwitchRaid-hPuvFoEWdURp5CmM
108,I'm coming home.,Song lyric,FeelsStrongMan,Uncommon,Skylar Grey - Coming Home,,
109,IM FUCKING MALDING,Famous line,forsenMald ,Common,Forsen Himself,,
110,I'm going mentaly insane!,Random line,ZULOL,Very rare,Forsen Himself,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/going%20insane%20zulol.mp3,
111,I'm going up so you better get this party started!,Song lyric,Pepepains,Very rare,Shirley Bassey - Get The Party Started,https://clips.twitch.tv/HeartlessHelpfulDragonfruitKappaRoss-9wEOoch3RVrC0Eqr,
112,I'm just a streamer!,Song lyric,FeelsBadMan,Rare,DJ KARL THE DOG - I'm Just A Memer,https://clips.twitch.tv/BovineObliviousCougarHassanChop-OuICuJX0i4sLxdpJ,
113,I'm lovin' it!,Viral Video,Pepepains; Opieop,Very rare,McDonalds,https://clips.twitch.tv/ImpartialClumsyManateeDBstyle-Ytrl6thzxGnMAryz,
114,I'm only human!,TV Show line,monkaPickle,Rare,im only human amazon ad ,https://clips.twitch.tv/SourBrightHamsterRalpherZ-GEdGDHIUOt6OyyxO,
115,IMMA FIRIN MAH' LAZER!!!,Viral Video,Pepepains,Very rare,Shoop Da whoop ,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/laser3.mp3,
116,In sveden we have snus,Famous line,"forsenGa, SvenLookingAtYou",Very rare,GTA V RP streams,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/sven/in%20sweden%20we%20have%20snus.mp3,
117,Insane in the membrane,Song lyric,ZULOL; forsenInsane,Common,Cypress Hill - Insane In The Membrane,https://clips.twitch.tv/ArbitraryBlazingWombatShazBotstix-gS9wpAXhtDroNYu2,
118,Is it too late now to say sorry?,Song lyric,JB ♥ - Pepepains,Uncommon,Justin Bieber - Sorry,https://clips.twitch.tv/HappyColorfulScallionPJSalt-ENcxVWuKL2fr87vC,
119,Is this the forsen build?,Famous line,Pepepains ,Common,Dark souls streams,https://clips.twitch.tv/PrettiestPreciousPotNomNom-KEN2-Ktyg3A3thu2,
120,It ain't easy when it's hard,Random line,-,Uncommon,-,https://clips.twitch.tv/GlamorousBlindingNarwhalCmonBruh-FJR2B9YAMIaTFP_n,
121,It go down!,Viral Video,Pepepains,Uncommon,Robert it goes down,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/it%20do%20go%20down.mp3,
122,It happens to the best of us,Random line,-,Common,-,https://clips.twitch.tv/ExuberantImpartialClamKappaRoss-0HD9Tvpe_cEc1s0H,
123,It rain it pours,Random line,-,Uncommon,-,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/random%20singing/when%20it%20rains%20it%20pours.mp3,
124,It was rigged from the start,Video Game,-,Very rare,Fallout 3: New Vegas,,
